Cust #,Customer Name,Media #,Media Identifier,CreatedDate,Status,Logical Vault,DRP,Rtn-date,MT,CONT/OM,Slot #,Date In,Date Out,Generation,Description                                                   
U092,"KLDiscovery Limited","S00631L5",,27/05/2021,Delivered,"DLT/LTO",,01/02/2023,"T -DLT / TK80",OPENMEDIA,,27/05/2021,01/02/2023,,S00631L5
U092,"KLDiscovery Limited","S00632L5",,10/06/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-18-000560,02/09/2021,,,S00632L5
U092,"KLDiscovery Limited","S00633L5",,10/06/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,15-029-003-12-000479,10/06/2021,,,S00633L5
U092,"KLDiscovery Limited","S00634L5",,10/06/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-17-000520,19/08/2021,,,S00634L5
U092,"KLDiscovery Limited","S00635L5",,15/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-12-000365,15/07/2021,,,S00635L5
U092,"KLDiscovery Limited","S00636L5",,15/07/2021,Delivered,"DLT/LTO",,24/01/2022,"T -DLT / TK80",OPENMEDIA,,29/07/2021,24/01/2022,,S00636L5
U092,"KLDiscovery Limited","S00637L5",,15/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-11-000350,15/07/2021,,,S00637L5
U092,"KLDiscovery Limited","S00638L5",,15/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-12-000366,15/07/2021,,,S00638L5
U092,"KLDiscovery Limited","S00639L5",,27/05/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-11-000335,27/05/2021,,,S00639L5
U092,"KLDiscovery Limited","S00640L5",,03/06/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-01-000007,20/10/2022,,,S00640L5
U092,"KLDiscovery Limited","S00641L5",,03/06/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-01-000005,20/10/2022,,,S00641L5
U092,"KLDiscovery Limited","S00642L5",,15/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-12-000384,15/07/2021,,,S00642L5
U092,"KLDiscovery Limited","S00643L5",,22/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,15-029-003-04-000129,22/07/2021,,,S00643L5
U092,"KLDiscovery Limited","S00644L5",,22/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,15-029-003-02-000045,22/07/2021,,,S00644L5
U092,"KLDiscovery Limited","S00645L5",,22/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,15-029-003-04-000131,22/07/2021,,,S00645L5
U092,"KLDiscovery Limited","S00646L5",,22/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,15-029-003-04-000135,22/07/2021,,,S00646L5
U092,"KLDiscovery Limited","S00647L5",,29/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-13-000395,29/07/2021,,,S00647L5
U092,"KLDiscovery Limited","S00648L5",,29/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-13-000393,29/07/2021,,,S00648L5
U092,"KLDiscovery Limited","S00649L5",,05/08/2021,Delivered,"DLT/LTO",,29/07/2022,"T -DLT / TK80",OPENMEDIA,,05/08/2021,29/07/2022,,S00649L5
U092,"KLDiscovery Limited","S00650L5",,05/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-14-000427,05/08/2021,,,S00650L5
U092,"KLDiscovery Limited","S00651L5",,05/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-14-000429,05/08/2021,,,S00651L5
U092,"KLDiscovery Limited","S00652L5",,05/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-14-000430,05/08/2021,,,S00652L5
U092,"KLDiscovery Limited","S00653L5",,15/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-12-000382,15/07/2021,,,S00653L5
U092,"KLDiscovery Limited","S00654L5",,05/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-14-000428,05/08/2021,,,S00654L5
U092,"KLDiscovery Limited","S00655L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000497,12/08/2021,,,S00655L5
U092,"KLDiscovery Limited","S00656L5",,19/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-17-000515,19/08/2021,,,
U092,"KLDiscovery Limited","S00657L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000501,12/08/2021,,,S00657L5
U092,"KLDiscovery Limited","S00658L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000481,12/08/2021,,,S00658L5
U092,"KLDiscovery Limited","S00659L5",,26/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-17-000513,26/08/2021,,,S00659L5
U092,"KLDiscovery Limited","S00660L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000488,12/08/2021,,,S00660L5
U092,"KLDiscovery Limited","S00661L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000489,12/08/2021,,,S00661L5
U092,"KLDiscovery Limited","S00662L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000482,12/08/2021,,,S00662L5
U092,"KLDiscovery Limited","S00663L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000499,12/08/2021,,,S00663L5
U092,"KLDiscovery Limited","S00664L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000496,12/08/2021,,,S00664L5
U092,"KLDiscovery Limited","S00665L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000486,12/08/2021,,,S00665L5
U092,"KLDiscovery Limited","S00666L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000500,12/08/2021,,,S00666L5
U092,"KLDiscovery Limited","S00667L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000498,12/08/2021,,,S00667L5
U092,"KLDiscovery Limited","S00668L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000485,12/08/2021,,,S00668L5
U092,"KLDiscovery Limited","S00669L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000484,12/08/2021,,,S00669L5
U092,"KLDiscovery Limited","S00670L5",,19/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-17-000514,19/08/2021,,,
U092,"KLDiscovery Limited","S00671L5",,19/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-17-000516,19/08/2021,,,
U092,"KLDiscovery Limited","S00672L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000493,12/08/2021,,,S00672L5
U092,"KLDiscovery Limited","S00673L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000494,12/08/2021,,,S00673L5
U092,"KLDiscovery Limited","S00674L5",,19/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-16-000485,19/08/2021,,,S00674L5
U092,"KLDiscovery Limited","S00675L5",,19/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-16-000482,19/08/2021,,,S00675L5
U092,"KLDiscovery Limited","S00676L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-18-000558,02/09/2021,,,S00676L5
U092,"KLDiscovery Limited","S00677L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-18-000557,02/09/2021,,,S00677L5
U092,"KLDiscovery Limited","S00678L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-18-000556,02/09/2021,,,S00678L5
U092,"KLDiscovery Limited","S00679L5",,12/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-16-000495,12/08/2021,,,S00679L5
U092,"KLDiscovery Limited","S00680L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-09-000263,02/09/2021,,,S00680L5
U092,"KLDiscovery Limited","S00681L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-06-000167,02/09/2021,,,S00681L5
U092,"KLDiscovery Limited","S00682L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-09-000257,02/09/2021,,,S00682L5
U092,"KLDiscovery Limited","S00683L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-003-15-000477,02/09/2021,,,S00683L5
U092,"KLDiscovery Limited","S00684L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-18-000552,02/09/2021,,,S00684L5
U092,"KLDiscovery Limited","S00685L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-18-000547,02/09/2021,,,S00685L5
U092,"KLDiscovery Limited","S00686L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-01-000015,02/09/2021,,,S00686L5
U092,"KLDiscovery Limited","S00687L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-001-04-000108,02/09/2021,,,S00687L5
U092,"KLDiscovery Limited","S00688L5",,16/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-18-000574,16/09/2021,,,S00688L5
U092,"KLDiscovery Limited","S00690L5",,15/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-16-000483,19/08/2021,,,S00690L5
U092,"KLDiscovery Limited","S00691L5",,15/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-12-000379,15/07/2021,,,S00691L5
U092,"KLDiscovery Limited","S00692L5",,15/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-16-000486,19/08/2021,,,S00692L5
U092,"KLDiscovery Limited","S00693L5",,15/07/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-003-12-000381,15/07/2021,,,S00693L5
U092,"KLDiscovery Limited","S00694L5",,02/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-18-000548,02/09/2021,,,S00694L5
U092,"KLDiscovery Limited","S00695L5",,16/09/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,02-053-002-18-000573,16/09/2021,,,S00695L5
U092,"KLDiscovery Limited","S00696L5",,26/08/2021,At Iron Mountain,"DLT/LTO",,,"T -DLT / TK80",OPENMEDIA,01-040-002-13-000398,26/08/2021,,,S00696L5
