GroupName,Type,Location,Description
GG_secOSUK1PREL1WFS01_LonData03-Production3_RO,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Read Only on LonData03-Production3 Share
GG_secOSUK1PREL1WFS01_LonData03-Production3_RW,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Write on LonData03-Production3 Share
DL_secOSUK1PREL1WFS01_LonData03-Production3_FC,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Full control on LonData03-Production3 Share
DL_secOSUK1PREL1WFS01_LonData03-Production3_RO,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Read Only on LonData03-Production3 Share
DL_secOSUK1PREL1WFS01_LonData03-Production3_RW,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Write on LonData03-Production3 Share
GG_secOSUK1PREL1WFS01_LonData03-Source_FC,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Full control on LonData03-Source Share
GG_secOSUK1PREL1WFS01_LonData03-Source_RO,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Read Only on LonData03-Source Share
GG_secOSUK1PREL1WFS01_LonData03-Source_RW,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Write on LonData03-Source Share
DL_secOSUK1PREL1WFS01_LonData03-Source_FC,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Full control on LonData03-Source Share
DL_secOSUK1PREL1WFS01_LonData03-Source_RO,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Read Only on LonData03-Source Share
DL_secOSUK1PREL1WFS01_LonData03-Source_RW,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Write on LonData03-Source Share
GG_secOSUK1PREL1WFS01_LonData03-Work_FC,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Full control on LonData03-Work Share
GG_secOSUK1PREL1WFS01_LonData03-Work_RO,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Read Only on LonData03-Work Share
GG_secOSUK1PREL1WFS01_LonData03-Work_RW,Global,"OU=Global Groups,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Write on LonData03-Work Share
DL_secOSUK1PREL1WFS01_LonData03-Work_FC,DomainLocal ,"OU=Domain Local,OU=Slough,OU=FS Access,OU=Security Groups,OU=IT,DC=ldi,DC=ldiscovery,DC=com",Full control on LonData03-Work Share
